"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1450","signInScreen_showsGoogleButton","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.journey.AuthFlowTest","com.shyden.shytalk.journey.AuthFlowTest",""
"","39","admin/mod CANNOT write mutes on a flagged conversation","integration","Thu Aug 27 12:34:33 UTC 2026","passed","Thu Aug 27 12:34:33 UTC 2026","Integration — flagged conversation subcollection write propagation","10-firestore-cohort-rules.spec.ts","",""
"","1346","settings_signOutButton_exists","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.journey.SettingsNavigationTest","com.shyden.shytalk.journey.SettingsNavigationTest",""
"","1428","idle_buttonEnabled_andNoErrorShown","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.feature.warning.WarningScreenStateTest","com.shyden.shytalk.feature.warning.WarningScreenStateTest",""
"","1629","groupSetup_createButton_exists","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.journey.GroupChatCreationTest","com.shyden.shytalk.journey.GroupChatCreationTest",""
"","3993","roomScreen_backButton_returnsToMain","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:56 UTC 2026","","com.shyden.shytalk.journey.RoomBrowsingTest","com.shyden.shytalk.journey.RoomBrowsingTest",""
"","41","P3 LOCKDOWN: owner CANNOT update room doc directly — must use /rooms/:roomId/name endpoint","integration","Thu Aug 27 12:34:31 UTC 2026","passed","Thu Aug 27 12:34:31 UTC 2026","Integration — cohort gate: rooms cohort immutability","10-firestore-cohort-rules.spec.ts","",""
"","62","non-participant CANNOT create a message in a room","integration","Thu Aug 27 12:34:25 UTC 2026","passed","Thu Aug 27 12:34:25 UTC 2026","Integration — Firestore rules: room messages authz","07-firestore-rules-enforcement.spec.ts","",""
"","114","user CAN update own non-protected field (displayName)","integration","Thu Aug 27 12:34:24 UTC 2026","passed","Thu Aug 27 12:34:24 UTC 2026","Integration — Firestore rules: users collection","07-firestore-rules-enforcement.spec.ts","",""
"","1896","accountPage_showsLinkedCount","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.journey.LinkedAccountsTest","com.shyden.shytalk.journey.LinkedAccountsTest",""
"","32","user CANNOT forge a dispute under another user's uniqueId","integration","Thu Aug 27 12:34:25 UTC 2026","passed","Thu Aug 27 12:34:25 UTC 2026","Integration — Firestore rules: suggestionDisputes authz","07-firestore-rules-enforcement.spec.ts","",""
"","74","group admin CANNOT add a cross-cohort participant","integration","Thu Aug 27 12:34:32 UTC 2026","passed","Thu Aug 27 12:34:32 UTC 2026","Integration — conversation participant ADD gate + frozenAtMigration freeze","10-firestore-cohort-rules.spec.ts","",""
"","3571","navigateToAgeVerificationSubmit_atRuntime_doesNotCrash","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:56 UTC 2026","","com.shyden.shytalk.journey.AgeVerificationNavigationTest","com.shyden.shytalk.journey.AgeVerificationNavigationTest",""
"","3112","adult_isOfferedTheWallet","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:56 UTC 2026","","com.shyden.shytalk.journey.CohortSurfaceTest","com.shyden.shytalk.journey.CohortSurfaceTest",""
"","27","noStringResourceRendersAnUndecodedEntity","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:53 UTC 2026","","com.shyden.shytalk.resources.StringResourceContentTest","com.shyden.shytalk.resources.StringResourceContentTest",""
"","215","cron deletes a user whose grace period has expired","integration","Thu Aug 27 12:34:27 UTC 2026","passed","Thu Aug 27 12:34:27 UTC 2026","Integration — account-deletion cron cascade","09-account-deletion-cron.spec.ts","",""
"","2379","anUnknownCohortIsTreatedAsAMinor","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:55 UTC 2026","","com.shyden.shytalk.journey.CohortSurfaceTest","com.shyden.shytalk.journey.CohortSurfaceTest",""
"","2411","acknowledging_disablesButton_andShowsSpinner","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:55 UTC 2026","","com.shyden.shytalk.feature.warning.WarningScreenStateTest","com.shyden.shytalk.feature.warning.WarningScreenStateTest",""
"","45","participant CAN read messages of non-flagged conversation","integration","Thu Aug 27 12:34:30 UTC 2026","passed","Thu Aug 27 12:34:30 UTC 2026","Integration — cohort gate: conversations subcollections + crossCohortAtMigration propagation","10-firestore-cohort-rules.spec.ts","",""
"","1060","transactionHistory_showsTransactions","","Thu Aug 27 13:13:53 UTC 2026","passed","Thu Aug 27 13:13:54 UTC 2026","","com.shyden.shytalk.journey.WalletAndTransactionsTest","com.shyden.shytalk.journey.WalletAndTransactionsTest",""
