"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","print page: no interactive elements in print","webkit","Tue Apr 14 22:24:11 UTC 2026","passed","Tue Apr 14 22:24:11 UTC 2026","Print View","suggestions-subscribe.spec.ts","",""
"","573","three days include Maha Sangkran, Virak Wanabat, Tngai Leang Sak","mobile-chrome","Tue Apr 14 22:07:28 UTC 2026","passed","Tue Apr 14 22:07:29 UTC 2026","Khmer New Year Page","khmer-new-year-page.spec.ts","",""
"","589","chart animates on page load","mobile-chrome","Tue Apr 14 22:10:30 UTC 2026","passed","Tue Apr 14 22:10:30 UTC 2026","Ring Chart Details","roadmap-redesign.spec.ts","",""
"","1595","Starting Screens tab has active class when selected","mobile-safari","Tue Apr 14 22:35:11 UTC 2026","passed","Tue Apr 14 22:35:12 UTC 2026","Starting Screens Admin Section","admin-starting-screens.spec.ts","",""
"","876","download prompt shows both store badges/links","webkit","Tue Apr 14 22:17:48 UTC 2026","passed","Tue Apr 14 22:17:49 UTC 2026","Roadmap Auth — No Account Download Prompt Details","roadmap-auth.spec.ts","",""
"","1024","planned suggestion: vote arrows disabled/hidden","chromium","Tue Apr 14 22:11:01 UTC 2026","passed","Tue Apr 14 22:11:02 UTC 2026","Suggestions Board — Voting Flow","suggestions-board.spec.ts","",""
"","323","print page: no interactive elements in print","mobile-safari","Tue Apr 14 23:02:01 UTC 2026","passed","Tue Apr 14 23:02:01 UTC 2026","Print View","suggestions-subscribe.spec.ts","",""
"","639","profile has display name field","webkit","Tue Apr 14 22:16:09 UTC 2026","passed","Tue Apr 14 22:16:10 UTC 2026","Portal — Profile Section Content","portal-dashboard.spec.ts","",""
"","0","store and wheel checkboxes persist after Apply","mobile-chrome","Tue Apr 14 21:57:57 UTC 2026","skipped","Tue Apr 14 21:57:57 UTC 2026","Admin Gifts Tab","admin-gifts.spec.ts","",""
"","2716","seeded device appears in table with correct data","webkit","Tue Apr 14 21:56:19 UTC 2026","passed","Tue Apr 14 21:56:22 UTC 2026","Admin Devices Tab","admin-devices.spec.ts","",""
"","947","pagination: page 1 loads, clicking page 2 loads next set","webkit","Tue Apr 14 22:19:28 UTC 2026","passed","Tue Apr 14 22:19:29 UTC 2026","Suggestions Board — Public Browsing","suggestions-board.spec.ts","",""
"","3349","clicking X closes the login modal","mobile-safari","Tue Apr 14 22:54:10 UTC 2026","passed","Tue Apr 14 22:54:13 UTC 2026","Roadmap Auth — Login Prompt","roadmap-auth.spec.ts","",""
"","622","card: tags overflow wraps to next line (no horizontal scroll)","mobile-chrome","Tue Apr 14 22:12:58 UTC 2026","passed","Tue Apr 14 22:12:58 UTC 2026","Suggestion Card UI States","suggestions-board.spec.ts","",""
"","2063","deleted screens section is visible when a screen is soft-deleted","firefox","Tue Apr 14 22:02:59 UTC 2026","passed","Tue Apr 14 22:03:01 UTC 2026","Starting Screens Admin Section","admin-starting-screens.spec.ts","",""
"","1858","Esc key closes evidence lightbox","webkit","Tue Apr 14 21:59:13 UTC 2026","skipped","Tue Apr 14 21:59:15 UTC 2026","Admin Keyboard Shortcuts","admin-keyboard.spec.ts","",""
"","3796","resolve alert removes it from active list","webkit","Tue Apr 14 21:52:59 UTC 2026","passed","Tue Apr 14 21:53:02 UTC 2026","Admin Alerts","admin-alerts.spec.ts","",""
"","973","recovery error and message are hidden initially","mobile-safari","Tue Apr 14 22:51:48 UTC 2026","passed","Tue Apr 14 22:51:49 UTC 2026","Portal — Recovery Screen","portal-auth.spec.ts","",""
"","288","/privacy.html footer shows Shyden Ltd copyright","chromium","Tue Apr 14 22:07:32 UTC 2026","passed","Tue Apr 14 22:07:32 UTC 2026","Shyden Ltd branding across legal pages","legal-pages.spec.ts","",""
"","5092","add coins persists","mobile-safari","Tue Apr 14 22:43:53 UTC 2026","passed","Tue Apr 14 22:43:58 UTC 2026","Admin Users - Economy Subtab","admin-users-economy.spec.ts","",""
"","585","card: user has downvoted (arrow highlighted, count reflects)","mobile-chrome","Tue Apr 14 22:12:50 UTC 2026","passed","Tue Apr 14 22:12:51 UTC 2026","Suggestion Card UI States","suggestions-board.spec.ts","",""
"","439","watch list with 20+ items: scrollable, all removable","chromium","Tue Apr 14 22:13:28 UTC 2026","passed","Tue Apr 14 22:13:29 UTC 2026","Subscribe Modal Edge Cases","suggestions-subscribe.spec.ts","",""
"","455","TOTP section has data-i18n attributes","mobile-chrome","Tue Apr 14 22:08:14 UTC 2026","passed","Tue Apr 14 22:08:14 UTC 2026","Portal — i18n: Data Attributes","portal-a11y.spec.ts","",""
"","398","displays Coming Soon badge","mobile-chrome","Tue Apr 14 22:07:38 UTC 2026","passed","Tue Apr 14 22:07:38 UTC 2026","Landing Page","landing-page.spec.ts","",""
"","1447","guarantee revoke — set then revoke, verify cleared","mobile-chrome","Tue Apr 14 21:59:35 UTC 2026","passed","Tue Apr 14 21:59:36 UTC 2026","Admin Spin Monitor","admin-spin-monitor.spec.ts","",""
"","741","export JSON triggers a download","mobile-chrome","Tue Apr 14 21:58:26 UTC 2026","passed","Tue Apr 14 21:58:27 UTC 2026","Admin Logs","admin-logs.spec.ts","",""
"","1439","opens from per-feature bell icon (feature pre-selected)","chromium","Tue Apr 14 22:13:22 UTC 2026","passed","Tue Apr 14 22:13:24 UTC 2026","Subscribe Modal","suggestions-subscribe.spec.ts","",""
"","1242","cannot edit/withdraw accepted/planned/completed/rejected (buttons not shown)","mobile-chrome","Tue Apr 14 22:11:48 UTC 2026","passed","Tue Apr 14 22:11:50 UTC 2026","Suggestions Board — Submission Flow","suggestions-board.spec.ts","",""
"","820","suggestion 500 up, 499 down: shows net 1","firefox","Tue Apr 14 22:18:39 UTC 2026","passed","Tue Apr 14 22:18:39 UTC 2026","Empty & Extreme States","suggestions-board.spec.ts","",""
"","397","has export data card with button","mobile-chrome","Tue Apr 14 22:09:09 UTC 2026","passed","Tue Apr 14 22:09:09 UTC 2026","Portal — Data & Privacy Section Content","portal-dashboard.spec.ts","",""
"","925","suggestions section shows welcome prompt when not authenticated","webkit","Tue Apr 14 22:16:58 UTC 2026","passed","Tue Apr 14 22:16:59 UTC 2026","Roadmap Auth — Login Prompt","roadmap-auth.spec.ts","",""
"","248","includes company registration number","chromium","Tue Apr 14 22:07:33 UTC 2026","passed","Tue Apr 14 22:07:34 UTC 2026","Privacy Policy — Shyden Ltd data controller","legal-pages.spec.ts","",""
"","0","bean redeem bonus threshold — change, save, reload","mobile-safari","Tue Apr 14 22:28:10 UTC 2026","skipped","Tue Apr 14 22:28:10 UTC 2026","Admin Economy Config","admin-economy-config.spec.ts","",""
"","820","admin overturn: audit log shows full history","chromium","Tue Apr 14 22:03:57 UTC 2026","passed","Tue Apr 14 22:03:58 UTC 2026","Admin Moderation Edge Cases (11.30)","admin-suggestions.spec.ts","",""
