"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","445","English (default) renders the inline HTML defaults","mobile-chrome","Wed Sep 09 06:56:50 UTC 2026","passed","Wed Sep 09 06:56:51 UTC 2026","Homepage footer links + copyright i18n","homepage-footer-links-i18n.spec.ts","",""
"","1199","seeded appeal appears in pending list with API verification","firefox","Wed Sep 09 07:15:30 UTC 2026","passed","Wed Sep 09 07:15:31 UTC 2026","Admin Appeals","admin-appeals.spec.ts","",""
"","668","buttons disable during API calls and re-enable after","mobile-safari","Wed Sep 09 07:15:04 UTC 2026","passed","Wed Sep 09 07:15:04 UTC 2026","Admin Cross-Tab Interactions","admin-cross-tab.spec.ts","",""
"","1916","dialog falls back to once-per-page-load, never blocks navigation","mobile-safari","Wed Sep 09 07:04:16 UTC 2026","passed","Wed Sep 09 07:04:18 UTC 2026","privacy mode (sessionStorage unavailable)","roadmap-i18n-lazy.spec.ts","",""
"","374","/cyber-bullying.html footer shows Shyden Ltd copyright","firefox","Wed Sep 09 06:59:36 UTC 2026","passed","Wed Sep 09 06:59:36 UTC 2026","Shyden Ltd branding across legal pages","legal-pages.spec.ts","",""
"","1939","login modal has Apple sign-in button","mobile-safari","Wed Sep 09 07:02:28 UTC 2026","passed","Wed Sep 09 07:02:30 UTC 2026","Roadmap Auth — Login Prompt","roadmap-auth.spec.ts","",""
"","303","login section becomes visible after Firebase init","chromium","Wed Sep 09 06:57:34 UTC 2026","passed","Wed Sep 09 06:57:34 UTC 2026","Portal — Page Load & Structure","portal-auth.spec.ts","",""
"","1623","card: accepted status (default card style)","mobile-safari","Wed Sep 09 07:08:50 UTC 2026","passed","Wed Sep 09 07:08:52 UTC 2026","Suggestion Card UI States","suggestions-board.spec.ts","",""
"","1004","dialog falls back to once-per-page-load, never blocks navigation","chromium","Wed Sep 09 07:00:07 UTC 2026","passed","Wed Sep 09 07:00:08 UTC 2026","privacy mode (sessionStorage unavailable)","roadmap-i18n-lazy.spec.ts","",""
"","950","shows ""No contact"" when submitter did not opt in","mobile-safari","Wed Sep 09 07:20:32 UTC 2026","passed","Wed Sep 09 07:20:33 UTC 2026","Admin Contact Opt-In Flow (11.95)","admin-suggestions.spec.ts","",""
"","1011","all 6 tradition cards are present","mobile-safari","Wed Sep 09 06:57:20 UTC 2026","passed","Wed Sep 09 06:57:21 UTC 2026","Khmer New Year Page","khmer-new-year-page.spec.ts","",""
"","902","nodes: account (purple), device (blue), network/IP (green)","webkit","Wed Sep 09 07:17:04 UTC 2026","passed","Wed Sep 09 07:17:05 UTC 2026","Admin Identity Graph Visualization (11.65)","admin-suggestions.spec.ts","",""
"","637","trace viewer opens and displays timeline","webkit","Wed Sep 09 07:13:49 UTC 2026","skipped","Wed Sep 09 07:13:49 UTC 2026","Admin Logs","admin-logs.spec.ts","",""
